task_id,iteration,eval_step,prop_step,num_samples,num_proposals,score
9,8,8,8,8,8,0.1316326530612244
9,9,9,9,9,9,0.1316326530612244
9,10,10,10,10,10,0.9454545454545454
9,11,11,11,11,11,0.9454545454545454
9,12,12,12,12,12,0.9454545454545454
9,13,13,13,13,13,0.9454545454545454
9,14,14,14,14,14,2.5881168177240683
9,15,15,15,15,15,2.5881168177240683
9,16,16,16,16,16,2.5881168177240683
9,17,17,17,17,17,2.5881168177240683
9,18,18,18,18,18,2.5881168177240683
9,19,19,19,19,19,2.5881168177240683
9,20,20,20,20,20,2.5881168177240683
10,0,0,0,0,0,0.0
10,1,1,1,1,1,0.0
10,2,2,2,2,2,0.0
10,3,3,3,3,3,0.0
10,4,4,4,4,4,0.0
10,5,5,5,5,5,0.0
10,6,6,6,6,6,0.0
10,7,7,7,7,7,0.0
10,8,8,8,8,8,0.0
10,9,9,9,9,9,0.12
10,10,10,10,10,10,0.12
10,11,11,11,11,11,0.1203619909502262
10,12,12,12,12,12,0.93006993006993
10,13,13,13,13,13,0.93006993006993
10,14,14,14,14,14,0.93006993006993
10,15,15,15,15,15,0.93006993006993
10,16,16,16,16,16,0.93006993006993
10,17,17,17,17,17,0.93006993006993
10,18,18,18,18,18,0.93006993006993
10,19,19,19,19,19,0.93006993006993
10,20,20,20,20,20,0.93006993006993
11,0,0,0,0,0,0.0
11,1,1,1,1,1,0.0
11,2,2,2,2,2,0.0
11,3,3,3,3,3,0.0
11,4,4,4,4,4,0.0
11,5,5,5,5,5,0.179345088161209
11,6,6,6,6,6,0.179345088161209
11,7,7,7,7,7,0.8511404561824729
11,8,8,8,8,8,0.8511404561824729
11,9,9,9,9,9,0.8511404561824729
11,10,10,10,10,10,0.8511404561824729
11,11,11,11,11,11,0.8511404561824729
11,12,12,12,12,12,0.8511404561824729
11,13,13,13,13,13,0.8511404561824729
11,14,14,14,14,14,0.8511404561824729
11,15,15,15,15,15,0.8511404561824729
11,16,16,16,16,16,0.8511404561824729
11,17,17,17,17,17,1.0282885431400282
11,18,18,18,18,18,1.0282885431400282
11,19,19,19,19,19,1.0282885431400282
11,20,20,20,20,20,1.0282885431400282
12,0,0,0,0,0,0.0
12,1,1,1,1,1,0.0
12,2,2,2,2,2,0.0
12,3,3,3,3,3,0.0
12,4,4,4,4,4,0.0
12,5,5,5,5,5,0.0
12,6,6,6,6,6,0.0
12,7,7,7,7,7,0.0
12,8,8,8,8,8,0.0
12,9,9,9,9,9,0.0
12,10,10,10,10,10,0.0
12,11,11,11,11,11,0.0
12,12,12,12,12,12,0.0
12,13,13,13,13,13,0.0
12,14,14,14,14,14,0.0
12,15,15,15,15,15,0.0
12,16,16,16,16,16,0.0947619047619047
12,17,17,17,17,17,0.0947619047619047
12,18,18,18,18,18,0.0947619047619047
12,19,19,19,19,19,0.0947619047619047
12,20,20,20,20,20,0.9245283018867924
13,0,0,0,0,0,0.0
13,1,1,1,1,1,0.0
13,2,2,2,2,2,0.0
13,3,3,3,3,3,0.0
13,4,4,4,4,4,0.2872909698996655
13,5,5,5,5,5,0.3506122448979591
13,6,6,6,6,6,0.3506122448979591
13,7,7,7,7,7,0.4190243902439024
13,8,8,8,8,8,0.4190243902439024
13,9,9,9,9,9,0.4190243902439024
13,10,10,10,10,10,0.4190243902439024
13,11,11,11,11,11,0.4190243902439024
13,12,12,12,12,12,0.4190243902439024
13,13,13,13,13,13,0.4190243902439024
13,14,14,14,14,14,0.4190243902439024
13,15,15,15,15,15,0.4190243902439024
13,16,16,16,16,16,0.4190243902439024
13,17,17,17,17,17,0.4190243902439024
13,18,18,18,18,18,0.4190243902439024
13,19,19,19,19,19,0.4190243902439024
13,20,20,20,20,20,0.4190243902439024
14,0,0,0,0,0,0.0
14,1,1,1,1,1,0.0
14,2,2,2,2,2,0.0
14,3,3,3,3,3,0.0
14,4,4,4,4,4,0.0
14,5,5,5,5,5,0.0
14,6,6,6,6,6,0.0
14,7,7,7,7,7,0.1344262295081967
14,8,8,8,8,8,0.9478114478114478
14,9,9,9,9,9,0.9478114478114478
14,10,10,10,10,10,0.9478114478114478
14,11,11,11,11,11,0.9478114478114478
14,12,12,12,12,12,0.9478114478114478
14,13,13,13,13,13,0.9478114478114478
14,14,14,14,14,14,0.9478114478114478
14,15,15,15,15,15,0.9478114478114478
14,16,16,16,16,16,0.9478114478114478
14,17,17,17,17,17,0.9478114478114478
14,18,18,18,18,18,0.9478114478114478
14,19,19,19,19,19,0.9478114478114478
14,20,20,20,20,20,0.9478114478114478
15,0,0,0,0,0,0.0
15,1,1,1,1,1,0.0
15,2,2,2,2,2,0.0
15,3,3,3,3,3,0.0
15,4,4,4,4,4,0.0
15,5,5,5,5,5,0.0
15,6,6,6,6,6,0.4874999999999999
15,7,7,7,7,7,0.4874999999999999
15,8,8,8,8,8,0.4874999999999999
15,9,9,9,9,9,0.781904761904762
15,10,10,10,10,10,0.9152542372881356
15,11,11,11,11,11,0.9152542372881356
15,12,12,12,12,12,1.0148148148148148
15,13,13,13,13,13,1.0148148148148148
15,14,14,14,14,14,1.0148148148148148
15,15,15,15,15,15,1.0148148148148148
15,16,16,16,16,16,1.0148148148148148
15,17,17,17,17,17,1.0148148148148148
15,18,18,18,18,18,1.0148148148148148
15,19,19,19,19,19,1.0148148148148148
15,20,20,20,20,20,1.0148148148148148
